,metric,scenario,num_townspeople,num_guacs_per_voter,std,pct_ppl_like,pct_ppl_dislike,loop_step,true_winner_recovered,multiple_winners
379,sum,a-lot-of-contenders,200,20,2,0,30,79,true,false
380,sum,a-lot-of-contenders,200,20,2,0,30,80,false,false
381,sum,a-lot-of-contenders,200,20,2,0,30,81,true,false
382,sum,a-lot-of-contenders,200,20,2,0,30,82,false,false
383,sum,a-lot-of-contenders,200,20,2,0,30,83,true,false
384,sum,a-lot-of-contenders,200,20,2,0,30,84,true,false
385,sum,a-lot-of-contenders,200,20,2,0,30,85,true,false
386,sum,a-lot-of-contenders,200,20,2,0,30,86,true,false
387,sum,a-lot-of-contenders,200,20,2,0,30,87,true,false
388,sum,a-lot-of-contenders,200,20,2,0,30,88,true,false
389,sum,a-lot-of-contenders,200,20,2,0,30,89,true,false
390,sum,a-lot-of-contenders,200,20,2,0,30,90,true,false
391,sum,a-lot-of-contenders,200,20,2,0,30,91,true,false
392,sum,a-lot-of-contenders,200,20,2,0,30,92,true,false
393,sum,a-lot-of-contenders,200,20,2,0,30,93,true,false
394,sum,a-lot-of-contenders,200,20,2,0,30,94,true,false
395,sum,a-lot-of-contenders,200,20,2,0,30,95,true,false
396,sum,a-lot-of-contenders,200,20,2,0,30,96,true,false
397,sum,a-lot-of-contenders,200,20,2,0,30,97,true,false
398,sum,a-lot-of-contenders,200,20,2,0,30,98,true,false
399,sum,a-lot-of-contenders,200,20,2,0,30,99,true,false
400,sum,a-lot-of-contenders,200,20,2,0,40,0,true,false
401,sum,a-lot-of-contenders,200,20,2,0,40,1,true,false
402,sum,a-lot-of-contenders,200,20,2,0,40,2,true,false
403,sum,a-lot-of-contenders,200,20,2,0,40,3,true,false
404,sum,a-lot-of-contenders,200,20,2,0,40,4,true,false
405,sum,a-lot-of-contenders,200,20,2,0,40,5,true,false
406,sum,a-lot-of-contenders,200,20,2,0,40,6,true,false
407,sum,a-lot-of-contenders,200,20,2,0,40,7,true,false
408,sum,a-lot-of-contenders,200,20,2,0,40,8,true,false
409,sum,a-lot-of-contenders,200,20,2,0,40,9,true,false
410,sum,a-lot-of-contenders,200,20,2,0,40,10,true,false
411,sum,a-lot-of-contenders,200,20,2,0,40,11,true,false
412,sum,a-lot-of-contenders,200,20,2,0,40,12,true,false
413,sum,a-lot-of-contenders,200,20,2,0,40,13,true,false
414,sum,a-lot-of-contenders,200,20,2,0,40,14,true,false
415,sum,a-lot-of-contenders,200,20,2,0,40,15,true,false
416,sum,a-lot-of-contenders,200,20,2,0,40,16,true,false
417,sum,a-lot-of-contenders,200,20,2,0,40,17,true,false
418,sum,a-lot-of-contenders,200,20,2,0,40,18,true,false
419,sum,a-lot-of-contenders,200,20,2,0,40,19,true,false
420,sum,a-lot-of-contenders,200,20,2,0,40,20,true,false
421,sum,a-lot-of-contenders,200,20,2,0,40,21,true,false
422,sum,a-lot-of-contenders,200,20,2,0,40,22,true,false
423,sum,a-lot-of-contenders,200,20,2,0,40,23,true,false
424,sum,a-lot-of-contenders,200,20,2,0,40,24,true,false
425,sum,a-lot-of-contenders,200,20,2,0,40,25,true,false
426,sum,a-lot-of-contenders,200,20,2,0,40,26,true,false
427,sum,a-lot-of-contenders,200,20,2,0,40,27,true,false
